timestamp,motor,reconstruction_error,status
2025-11-08 20:18:18,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:18,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:19,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:19,M5,0.000000,0.000003,NORMAL
2025-11-08 20:18:21,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:21,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:21,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:21,M5,0.000000,0.000003,NORMAL
2025-11-08 20:18:23,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:23,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:23,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:23,M5,0.000000,0.000003,NORMAL
2025-11-08 20:18:26,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:26,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:26,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:26,M5,0.000000,0.000003,NORMAL
2025-11-08 20:18:28,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:28,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:28,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:28,M5,0.000000,0.000003,NORMAL
2025-11-08 20:18:30,M1,0.000016,0.000103,NORMAL
2025-11-08 20:18:30,M2,0.000000,0.000004,NORMAL
2025-11-08 20:18:30,M4,0.000006,0.000024,NORMAL
2025-11-08 20:18:31,M5,0.000000,0.000003,NORMAL
2025-11-08 20:19:48,M1,0.000016,0.000103,NORMAL
2025-11-08 20:19:48,M2,0.000000,0.000004,NORMAL
2025-11-08 20:19:48,M4,0.000006,0.000024,NORMAL
2025-11-08 20:19:48,M5,0.000000,0.000003,NORMAL
2025-11-08 20:19:50,M1,0.000016,0.000103,NORMAL
2025-11-08 20:19:50,M2,0.000000,0.000004,NORMAL
2025-11-08 20:19:51,M4,0.000006,0.000024,NORMAL
2025-11-08 20:19:51,M5,0.000000,0.000003,NORMAL
2025-11-08 20:19:53,M1,0.000016,0.000103,NORMAL
2025-11-08 20:19:53,M2,0.000000,0.000004,NORMAL
2025-11-08 20:19:53,M4,0.000006,0.000024,NORMAL
2025-11-08 20:19:53,M5,0.000000,0.000003,NORMAL
2025-11-08 20:19:55,M1,0.000016,0.000103,NORMAL
2025-11-08 20:19:55,M2,0.000000,0.000004,NORMAL
2025-11-08 20:19:55,M4,0.000006,0.000024,NORMAL
2025-11-08 20:19:55,M5,0.000000,0.000003,NORMAL
2025-11-08 20:19:58,M1,0.000016,0.000103,NORMAL
2025-11-08 20:19:58,M2,0.000000,0.000004,NORMAL
2025-11-08 20:19:58,M4,0.000006,0.000024,NORMAL
2025-11-08 20:19:58,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:00,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:00,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:00,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:00,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:03,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:03,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:03,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:03,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:05,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:05,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:05,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:05,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:07,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:07,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:07,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:07,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:10,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:10,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:10,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:10,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:12,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:12,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:12,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:12,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:14,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:14,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:14,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:14,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:17,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:17,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:17,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:17,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:19,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:19,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:19,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:19,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:21,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:21,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:21,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:22,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:24,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:24,M2,0.000000,0.000004,NORMAL
2025-11-08 20:20:24,M4,0.000006,0.000024,NORMAL
2025-11-08 20:20:24,M5,0.000000,0.000003,NORMAL
2025-11-08 20:20:26,M1,0.000016,0.000103,NORMAL
2025-11-08 20:20:26,M2,0.000000,0.000004,NORMAL
