timestamp,sample_index,top_features
50,50,"vibration (0.75), temperature (0.15)"
151,151,"vibration (0.81), current (0.18)"
210,210,"current (0.67), temperature (0.22)"
211,211,"vibration (0.53), current (0.40)"
265,265,"current (0.82), temperature (0.11)"
267,267,"vibration (0.38), current (0.36)"
403,403,"vibration (0.38), temperature (0.32)"
501,501,"vibration (0.66), temperature (0.18)"
592,592,"temperature (0.58), vibration (0.31)"
714,714,"current (0.50), vibration (0.39)"
771,771,"vibration (0.56), current (0.44)"
969,969,"temperature (0.71), current (0.29)"
1038,1038,"vibration (0.54), temperature (0.27)"
1052,1052,"vibration (0.48), temperature (0.36)"
1080,1080,"current (0.54), vibration (0.35)"
1141,1141,"temperature (0.50), vibration (0.49)"
1217,1217,"temperature (0.78), current (0.15)"
1276,1276,"current (0.52), temperature (0.30)"
1316,1316,"vibration (0.48), temperature (0.29)"
1379,1379,"temperature (0.42), vibration (0.30)"
1423,1423,"temperature (0.83), vibration (0.15)"
1450,1450,"vibration (0.78), current (0.13)"
1637,1637,"current (0.73), vibration (0.16)"
1698,1698,"vibration (0.68), temperature (0.23)"
1738,1738,"current (0.69), vibration (0.26)"
1937,1937,"temperature (0.79), current (0.21)"
2158,2158,"vibration (0.85), temperature (0.14)"
2204,2204,"temperature (0.99), current (0.00)"
2386,2386,"current (0.43), vibration (0.42)"
2558,2558,"vibration (0.72), current (0.27)"
2732,2732,"temperature (0.52), vibration (0.25)"
2871,2871,"current (0.49), temperature (0.30)"
2937,2937,"vibration (0.62), temperature (0.32)"
3019,3019,"vibration (0.78), current (0.16)"
3380,3380,"vibration (0.79), temperature (0.13)"
3491,3491,"current (0.51), vibration (0.39)"
3621,3621,"vibration (0.52), current (0.28)"
4187,4187,"temperature (0.99), current (0.01)"
4208,4208,"vibration (0.48), temperature (0.27)"
4614,4614,"vibration (0.62), current (0.24)"
4667,4667,"current (0.46), vibration (0.29)"
4827,4827,"vibration (0.77), current (0.19)"
5087,5087,"current (0.57), temperature (0.34)"
5375,5375,"current (0.39), temperature (0.31)"
5378,5378,"current (0.50), temperature (0.48)"
5569,5569,"current (0.77), vibration (0.23)"
5570,5570,"temperature (0.51), vibration (0.28)"
5647,5647,"vibration (0.60), current (0.40)"
5751,5751,"temperature (0.41), current (0.32)"
6368,6368,"temperature (0.80), vibration (0.19)"
6735,6735,"temperature (0.56), vibration (0.37)"
6793,6793,"temperature (0.43), current (0.40)"
7116,7116,"current (0.81), vibration (0.19)"
7244,7244,"current (0.48), vibration (0.40)"
7456,7456,"vibration (0.99), temperature (0.01)"
7465,7465,"temperature (0.80), current (0.13)"
7514,7514,"vibration (0.71), temperature (0.19)"
7529,7529,"vibration (0.98), current (0.02)"
7547,7547,"temperature (0.95), vibration (0.04)"
7629,7629,"vibration (0.51), temperature (0.27)"
7635,7635,"current (0.66), temperature (0.26)"
8312,8312,"vibration (0.64), temperature (0.30)"
8406,8406,"temperature (0.47), vibration (0.38)"
8550,8550,"temperature (0.77), vibration (0.13)"
8640,8640,"temperature (0.51), current (0.27)"
8666,8666,"temperature (0.72), vibration (0.27)"
9118,9118,"vibration (0.47), temperature (0.28)"
9425,9425,"current (0.90), vibration (0.10)"
9450,9450,"current (0.58), vibration (0.42)"
9513,9513,"current (0.58), temperature (0.40)"
9544,9544,"current (0.82), vibration (0.18)"
9847,9847,"temperature (0.93), vibration (0.03)"
9864,9864,"vibration (0.50), temperature (0.29)"
9880,9880,"temperature (0.75), current (0.25)"
10101,10101,"current (0.66), temperature (0.32)"
10597,10597,"temperature (0.66), current (0.18)"
10639,10639,"current (0.48), temperature (0.36)"
10896,10896,"current (0.48), vibration (0.40)"
