timestamp,sample_index,top_features
21231,21231,"vibration (0.80), temperature (0.18)"
21275,21275,"vibration (0.80), temperature (0.18)"
21314,21314,"vibration (0.80), temperature (0.18)"
21317,21317,"vibration (0.80), temperature (0.17)"
21344,21344,"vibration (0.80), temperature (0.18)"
21347,21347,"vibration (0.80), temperature (0.18)"
21349,21349,"vibration (0.80), temperature (0.18)"
21356,21356,"vibration (0.80), temperature (0.18)"
21360,21360,"vibration (0.80), temperature (0.18)"
21372,21372,"vibration (0.80), temperature (0.18)"
21381,21381,"vibration (0.80), temperature (0.18)"
21386,21386,"vibration (0.80), temperature (0.18)"
21399,21399,"vibration (0.80), temperature (0.18)"
21400,21400,"vibration (0.80), temperature (0.18)"
21415,21415,"vibration (0.80), temperature (0.18)"
21425,21425,"vibration (0.80), temperature (0.18)"
21429,21429,"vibration (0.80), temperature (0.18)"
21431,21431,"vibration (0.80), temperature (0.18)"
21434,21434,"vibration (0.80), temperature (0.18)"
21435,21435,"vibration (0.80), temperature (0.18)"
21439,21439,"vibration (0.80), temperature (0.18)"
21440,21440,"vibration (0.80), temperature (0.18)"
21441,21441,"vibration (0.80), temperature (0.18)"
21447,21447,"vibration (0.80), temperature (0.18)"
21448,21448,"vibration (0.80), temperature (0.18)"
21454,21454,"vibration (0.80), temperature (0.18)"
21461,21461,"vibration (0.80), temperature (0.18)"
21465,21465,"vibration (0.80), temperature (0.18)"
21466,21466,"vibration (0.80), temperature (0.18)"
21469,21469,"vibration (0.80), temperature (0.18)"
21470,21470,"vibration (0.80), temperature (0.18)"
21472,21472,"vibration (0.80), temperature (0.18)"
21478,21478,"vibration (0.80), temperature (0.18)"
21480,21480,"vibration (0.80), temperature (0.18)"
21482,21482,"vibration (0.80), temperature (0.18)"
21484,21484,"vibration (0.80), temperature (0.18)"
21486,21486,"vibration (0.80), temperature (0.18)"
21487,21487,"vibration (0.80), temperature (0.18)"
21490,21490,"vibration (0.80), temperature (0.18)"
21492,21492,"vibration (0.80), temperature (0.18)"
21493,21493,"vibration (0.80), temperature (0.18)"
21494,21494,"vibration (0.80), temperature (0.18)"
21495,21495,"vibration (0.80), temperature (0.18)"
21496,21496,"vibration (0.80), temperature (0.18)"
21499,21499,"vibration (0.80), temperature (0.18)"
21505,21505,"vibration (0.80), temperature (0.18)"
21506,21506,"vibration (0.80), temperature (0.18)"
21508,21508,"vibration (0.80), temperature (0.18)"
21509,21509,"vibration (0.80), temperature (0.18)"
21510,21510,"vibration (0.80), temperature (0.18)"
21512,21512,"vibration (0.80), temperature (0.18)"
21513,21513,"vibration (0.80), temperature (0.18)"
21516,21516,"vibration (0.80), temperature (0.18)"
21518,21518,"vibration (0.80), temperature (0.18)"
21519,21519,"vibration (0.80), temperature (0.18)"
21520,21520,"vibration (0.80), temperature (0.18)"
21521,21521,"vibration (0.80), temperature (0.18)"
21522,21522,"vibration (0.80), temperature (0.18)"
21524,21524,"vibration (0.80), temperature (0.18)"
21525,21525,"vibration (0.80), temperature (0.18)"
21526,21526,"vibration (0.80), temperature (0.18)"
21527,21527,"vibration (0.80), temperature (0.18)"
21528,21528,"vibration (0.80), temperature (0.18)"
21529,21529,"vibration (0.80), temperature (0.18)"
21531,21531,"vibration (0.80), temperature (0.18)"
21534,21534,"vibration (0.80), temperature (0.18)"
21540,21540,"vibration (0.80), temperature (0.18)"
21541,21541,"vibration (0.80), temperature (0.18)"
21542,21542,"vibration (0.80), temperature (0.18)"
21544,21544,"vibration (0.80), temperature (0.18)"
21547,21547,"vibration (0.80), temperature (0.18)"
21550,21550,"vibration (0.80), temperature (0.18)"
21552,21552,"vibration (0.80), temperature (0.18)"
21553,21553,"vibration (0.80), temperature (0.18)"
21554,21554,"vibration (0.80), temperature (0.18)"
21557,21557,"vibration (0.80), temperature (0.18)"
21558,21558,"vibration (0.80), temperature (0.18)"
21559,21559,"vibration (0.80), temperature (0.18)"
21560,21560,"vibration (0.80), temperature (0.18)"
21561,21561,"vibration (0.80), temperature (0.18)"
21566,21566,"vibration (0.80), temperature (0.18)"
21567,21567,"vibration (0.80), temperature (0.18)"
21568,21568,"vibration (0.80), temperature (0.18)"
21569,21569,"vibration (0.80), temperature (0.18)"
21571,21571,"vibration (0.80), temperature (0.18)"
21572,21572,"vibration (0.80), temperature (0.18)"
21573,21573,"vibration (0.80), temperature (0.18)"
21574,21574,"vibration (0.80), temperature (0.18)"
21576,21576,"vibration (0.80), temperature (0.18)"
21577,21577,"vibration (0.80), temperature (0.18)"
21578,21578,"vibration (0.80), temperature (0.18)"
21579,21579,"vibration (0.80), temperature (0.18)"
21580,21580,"vibration (0.80), temperature (0.18)"
21581,21581,"vibration (0.80), temperature (0.18)"
21582,21582,"vibration (0.80), temperature (0.18)"
21584,21584,"vibration (0.80), temperature (0.18)"
21586,21586,"vibration (0.80), temperature (0.18)"
21589,21589,"vibration (0.80), temperature (0.18)"
21590,21590,"vibration (0.80), temperature (0.18)"
21591,21591,"vibration (0.80), temperature (0.18)"
21592,21592,"vibration (0.80), temperature (0.18)"
21593,21593,"vibration (0.80), temperature (0.18)"
21594,21594,"vibration (0.80), temperature (0.18)"
21595,21595,"vibration (0.80), temperature (0.18)"
21596,21596,"vibration (0.80), temperature (0.18)"
21597,21597,"vibration (0.80), temperature (0.18)"
21598,21598,"vibration (0.80), temperature (0.18)"
21599,21599,"vibration (0.80), temperature (0.18)"
21231,21231,"vibration (0.80), temperature (0.18)"
21275,21275,"vibration (0.80), temperature (0.18)"
21314,21314,"vibration (0.80), temperature (0.18)"
21317,21317,"vibration (0.80), temperature (0.17)"
21344,21344,"vibration (0.80), temperature (0.18)"
